n;modelName;mean_x;sd_x;sd_epsilon;x0;trueCondMean;h;estimError;computationTime
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.005";"0.00706523906890633";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.01";"0.00993993493751577";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.02";"-0.00673275948650498";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.05";"-0.00154108575302447";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.1";"0.0319617683143685";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.2";"0.133595066983972";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.5";"0.760606467717519";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.001";"0.0471387152687102";"0.0199999999895226"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.002";"0.0185200183678924";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.005";"0.0317948029948498";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.01";"-0.00890085105793814";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.02";"0.00968371318303607";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.05";"-0.00584774276990907";"0.0199999999895226"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.1";"0.0131796464884495";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.2";"0.126135212042579";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.5";"0.764561813772873";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.001";"-0.0638406904427683";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.002";"0.00626102852416643";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.005";"0.0109230398696789";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.01";"0.0045033041734388";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.02";"-0.0175018427371331";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.05";"-0.000238515602763334";"0.0199999999895226"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.1";"0.0490912641496084";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.2";"0.103188700737582";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.5";"0.774891434252162";"0"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.001";"-0.0246960962525347";"0.0199999999895226"
"50000";"Y = X^2 + epsilon";"5";"2";"0.1";"1";"1";"0.002";"0.0100923575550513";"0.0100000000093132"
